date,foodItem,preparedQty,consumedQty,wastedQty,dayOfWeek
2025-12-11,Paratha,181,163,18,Thursday
2025-12-11,Pulao,102,92,10,Thursday
2025-12-11,Poha,80,73,7,Thursday
2025-12-11,Upma,90,83,7,Thursday
2025-12-11,Dosa,81,69,12,Thursday
2025-12-11,Sambar,74,68,6,Thursday
2025-12-12,Upma,84,72,12,Friday
2025-12-12,Dosa,117,103,14,Friday
2025-12-12,Dal,85,77,8,Friday
2025-12-12,Paratha,207,183,24,Friday
2025-12-13,Dal,105,65,40,Saturday
2025-12-13,Paratha,160,96,64,Saturday
2025-12-13,Sambar,52,32,20,Saturday
2025-12-13,Dosa,77,48,29,Saturday
2025-12-13,Chapati,181,112,69,Saturday
2025-12-14,Pulao,103,67,36,Sunday
2025-12-14,Sabzi,115,73,42,Sunday
2025-12-14,Chapati,198,126,72,Sunday
2025-12-14,Idli,177,116,61,Sunday
2025-12-15,Sambar,72,65,7,Monday
2025-12-15,Chapati,249,226,23,Monday
2025-12-15,Paratha,178,158,20,Monday
2025-12-15,Pulao,89,78,11,Monday
2025-12-15,Sabzi,75,68,7,Monday
2025-12-15,Idli,133,122,11,Monday
2025-12-16,Upma,68,59,9,Tuesday
2025-12-16,Paratha,165,154,11,Tuesday
2025-12-16,Sambar,82,75,7,Tuesday
2025-12-16,Chapati,212,183,29,Tuesday
2025-12-17,Dosa,98,84,14,Wednesday
2025-12-17,Paratha,203,192,11,Wednesday
2025-12-17,Sambar,75,67,8,Wednesday
2025-12-17,Sabzi,73,66,7,Wednesday
2025-12-17,Pulao,104,90,14,Wednesday
2025-12-17,Upma,75,68,7,Wednesday
2025-12-18,Pulao,116,106,10,Thursday
2025-12-18,Dal,83,71,12,Thursday
2025-12-18,Sambar,68,58,10,Thursday
2025-12-18,Idli,169,153,16,Thursday
2025-12-18,Rice,103,92,11,Thursday
2025-12-18,Paratha,203,189,14,Thursday
2025-12-19,Chapati,243,225,18,Friday
2025-12-19,Upma,87,81,6,Friday
2025-12-19,Dal,105,93,12,Friday
2025-12-19,Poha,96,89,7,Friday
2025-12-20,Dosa,125,79,46,Saturday
2025-12-20,Sambar,62,40,22,Saturday
2025-12-20,Upma,83,50,33,Saturday
2025-12-20,Curd Rice,64,41,23,Saturday
2025-12-20,Paratha,208,129,79,Saturday
2025-12-20,Dal,84,55,29,Saturday
2025-12-21,Pulao,92,56,36,Sunday
2025-12-21,Sambar,63,38,25,Sunday
2025-12-21,Poha,89,57,32,Sunday
2025-12-21,Dal,101,63,38,Sunday
2025-12-22,Sabzi,93,83,10,Monday
2025-12-22,Poha,87,80,7,Monday
2025-12-22,Curd Rice,66,57,9,Monday
2025-12-22,Pulao,118,101,17,Monday
2025-12-23,Dosa,79,70,9,Tuesday
2025-12-23,Upma,60,56,4,Tuesday
2025-12-23,Idli,147,132,15,Tuesday
2025-12-23,Pulao,108,98,10,Tuesday
2025-12-23,Paratha,159,150,9,Tuesday
2025-12-24,Rice,106,92,14,Wednesday
2025-12-24,Poha,72,66,6,Wednesday
2025-12-24,Upma,55,50,5,Wednesday
2025-12-24,Idli,150,129,21,Wednesday
2025-12-24,Dal,68,60,8,Wednesday
2025-12-25,Paratha,153,136,17,Thursday
2025-12-25,Pulao,122,110,12,Thursday
2025-12-25,Idli,163,153,10,Thursday
2025-12-25,Rice,105,96,9,Thursday
2025-12-26,Paratha,145,129,16,Friday
2025-12-26,Pulao,135,122,13,Friday
2025-12-26,Dosa,85,76,9,Friday
2025-12-26,Sabzi,75,68,7,Friday
2025-12-27,Upma,83,55,28,Saturday
2025-12-27,Curd Rice,64,42,22,Saturday
2025-12-27,Idli,166,99,67,Saturday
2025-12-27,Chapati,181,111,70,Saturday
2025-12-28,Paratha,155,102,53,Sunday
2025-12-28,Upma,56,34,22,Sunday
2025-12-28,Dosa,118,75,43,Sunday
2025-12-28,Curd Rice,55,35,20,Sunday
2025-12-28,Poha,73,47,26,Sunday
2025-12-29,Sabzi,117,107,10,Monday
2025-12-29,Rice,139,128,11,Monday
2025-12-29,Curd Rice,68,61,7,Monday
2025-12-29,Dosa,114,105,9,Monday
2025-12-30,Dal,70,60,10,Tuesday
2025-12-30,Pulao,90,79,11,Tuesday
2025-12-30,Upma,70,66,4,Tuesday
2025-12-30,Dosa,89,83,6,Tuesday
2025-12-30,Rice,134,126,8,Tuesday
2025-12-30,Chapati,198,184,14,Tuesday
2025-12-31,Paratha,171,161,10,Wednesday
2025-12-31,Curd Rice,69,60,9,Wednesday
2025-12-31,Pulao,113,106,7,Wednesday
2025-12-31,Dal,84,76,8,Wednesday
2026-01-01,Rice,133,115,18,Thursday
2026-01-01,Sabzi,78,73,5,Thursday
2026-01-01,Chapati,195,182,13,Thursday
2026-01-01,Curd Rice,74,68,6,Thursday
2026-01-01,Dosa,88,78,10,Thursday
2026-01-02,Sambar,80,70,10,Friday
2026-01-02,Dal,102,92,10,Friday
2026-01-02,Curd Rice,75,67,8,Friday
2026-01-02,Pulao,116,105,11,Friday
2026-01-02,Rice,151,133,18,Friday
2026-01-03,Sambar,60,38,22,Saturday
2026-01-03,Rice,159,97,62,Saturday
2026-01-03,Dosa,92,55,37,Saturday
2026-01-03,Upma,64,39,25,Saturday
2026-01-03,Pulao,119,71,48,Saturday
2026-01-03,Idli,167,108,59,Saturday
2026-01-04,Paratha,182,119,63,Sunday
2026-01-04,Curd Rice,57,34,23,Sunday
2026-01-04,Chapati,203,127,76,Sunday
2026-01-04,Sabzi,115,69,46,Sunday
2026-01-04,Dal,75,46,29,Sunday
2026-01-04,Dosa,118,70,48,Sunday
2026-01-05,Rice,100,88,12,Monday
2026-01-05,Pulao,90,80,10,Monday
2026-01-05,Dal,101,89,12,Monday
2026-01-05,Chapati,248,218,30,Monday
2026-01-05,Poha,78,66,12,Monday
2026-01-05,Dosa,100,93,7,Monday
2026-01-06,Chapati,234,218,16,Tuesday
2026-01-06,Dal,70,61,9,Tuesday
2026-01-06,Sambar,87,78,9,Tuesday
2026-01-06,Paratha,191,167,24,Tuesday
2026-01-06,Upma,80,75,5,Tuesday
2026-01-06,Poha,60,52,8,Tuesday
2026-01-07,Chapati,206,182,24,Wednesday
2026-01-07,Curd Rice,51,46,5,Wednesday
2026-01-07,Sabzi,114,97,17,Wednesday
2026-01-07,Upma,73,64,9,Wednesday
2026-01-07,Idli,163,138,25,Wednesday
2026-01-08,Pulao,119,105,14,Thursday
2026-01-08,Curd Rice,54,47,7,Thursday
2026-01-08,Dosa,118,108,10,Thursday
2026-01-08,Sabzi,102,91,11,Thursday
2026-01-09,Rice,113,96,17,Friday
2026-01-09,Curd Rice,59,50,9,Friday
2026-01-09,Sambar,50,45,5,Friday
2026-01-09,Paratha,165,149,16,Friday
2026-01-09,Dal,81,74,7,Friday
2026-01-09,Pulao,90,82,8,Friday
2026-01-10,Idli,124,82,42,Saturday
2026-01-10,Chapati,257,156,101,Saturday
2026-01-10,Paratha,155,93,62,Saturday
2026-01-10,Curd Rice,66,40,26,Saturday
2026-01-10,Pulao,135,84,51,Saturday
2026-01-11,Pulao,133,84,49,Sunday
2026-01-11,Poha,85,51,34,Sunday
2026-01-11,Sabzi,110,69,41,Sunday
2026-01-11,Rice,132,84,48,Sunday
2026-01-12,Rice,137,125,12,Monday
2026-01-12,Dosa,122,114,8,Monday
2026-01-12,Sabzi,75,65,10,Monday
2026-01-12,Paratha,184,173,11,Monday
2026-01-12,Poha,82,70,12,Monday
2026-01-12,Sambar,61,54,7,Monday
2026-01-13,Curd Rice,73,66,7,Tuesday
2026-01-13,Pulao,112,98,14,Tuesday
2026-01-13,Sabzi,117,100,17,Tuesday
2026-01-13,Idli,179,156,23,Tuesday
2026-01-13,Chapati,189,172,17,Tuesday
2026-01-14,Dosa,118,102,16,Wednesday
2026-01-14,Rice,148,134,14,Wednesday
2026-01-14,Idli,179,153,26,Wednesday
2026-01-14,Chapati,259,231,28,Wednesday
2026-01-14,Sambar,58,55,3,Wednesday
2026-01-15,Rice,105,98,7,Thursday
2026-01-15,Chapati,200,186,14,Thursday
2026-01-15,Upma,81,70,11,Thursday
2026-01-15,Sabzi,109,95,14,Thursday
2026-01-15,Poha,70,66,4,Thursday
2026-01-16,Sambar,58,49,9,Friday
2026-01-16,Upma,62,55,7,Friday
2026-01-16,Sabzi,118,102,16,Friday
2026-01-16,Dal,84,73,11,Friday
2026-01-17,Pulao,92,56,36,Saturday
2026-01-17,Idli,152,92,60,Saturday
2026-01-17,Dosa,117,75,42,Saturday
2026-01-17,Sabzi,70,45,25,Saturday
2026-01-18,Rice,158,100,58,Sunday
2026-01-18,Sambar,51,30,21,Sunday
2026-01-18,Chapati,233,152,81,Sunday
2026-01-18,Dal,100,63,37,Sunday
2026-01-18,Paratha,150,91,59,Sunday
2026-01-18,Poha,69,44,25,Sunday
2026-01-19,Idli,173,156,17,Monday
2026-01-19,Upma,92,81,11,Monday
2026-01-19,Pulao,106,92,14,Monday
2026-01-19,Sambar,60,53,7,Monday
2026-01-19,Poha,60,55,5,Monday
2026-01-20,Sambar,75,68,7,Tuesday
2026-01-20,Poha,76,65,11,Tuesday
2026-01-20,Upma,70,61,9,Tuesday
2026-01-20,Curd Rice,56,51,5,Tuesday
2026-01-20,Sabzi,105,92,13,Tuesday
2026-01-21,Dosa,75,70,5,Wednesday
2026-01-21,Sabzi,94,87,7,Wednesday
2026-01-21,Pulao,128,113,15,Wednesday
2026-01-21,Poha,98,91,7,Wednesday
2026-01-21,Idli,138,126,12,Wednesday
2026-01-22,Idli,167,154,13,Thursday
2026-01-22,Sabzi,87,77,10,Thursday
2026-01-22,Dosa,121,107,14,Thursday
2026-01-22,Curd Rice,65,59,6,Thursday
2026-01-22,Sambar,81,73,8,Thursday
2026-01-22,Upma,62,56,6,Thursday
2026-01-23,Sambar,68,62,6,Friday
2026-01-23,Rice,126,110,16,Friday
2026-01-23,Pulao,87,74,13,Friday
2026-01-23,Dosa,99,85,14,Friday
2026-01-23,Upma,66,62,4,Friday
2026-01-24,Rice,128,80,48,Saturday
2026-01-24,Curd Rice,64,41,23,Saturday
2026-01-24,Sambar,79,50,29,Saturday
2026-01-24,Chapati,230,137,93,Saturday
2026-01-24,Dosa,117,77,40,Saturday
2026-01-24,Paratha,148,96,52,Saturday
2026-01-25,Dal,102,66,36,Sunday
2026-01-25,Paratha,179,110,69,Sunday
2026-01-25,Pulao,107,65,42,Sunday
2026-01-25,Dosa,93,56,37,Sunday
2026-01-25,Idli,139,83,56,Sunday
2026-01-25,Rice,117,75,42,Sunday
2026-01-26,Pulao,127,109,18,Monday
2026-01-26,Paratha,178,152,26,Monday
2026-01-26,Poha,74,69,5,Monday
2026-01-26,Dal,79,71,8,Monday
2026-01-26,Chapati,255,229,26,Monday
2026-01-26,Sambar,58,52,6,Monday
2026-01-27,Paratha,204,178,26,Tuesday
2026-01-27,Chapati,252,219,33,Tuesday
2026-01-27,Sambar,69,63,6,Tuesday
2026-01-27,Sabzi,94,84,10,Tuesday
2026-01-27,Upma,83,72,11,Tuesday
2026-01-27,Dal,96,88,8,Tuesday
2026-01-28,Sabzi,94,87,7,Wednesday
2026-01-28,Chapati,182,162,20,Wednesday
2026-01-28,Pulao,128,120,8,Wednesday
2026-01-28,Rice,102,94,8,Wednesday
2026-01-29,Rice,103,94,9,Thursday
2026-01-29,Upma,90,84,6,Thursday
2026-01-29,Sabzi,93,82,11,Thursday
2026-01-29,Dosa,86,78,8,Thursday
2026-01-29,Curd Rice,56,48,8,Thursday
2026-01-30,Rice,139,128,11,Friday
2026-01-30,Paratha,151,139,12,Friday
2026-01-30,Dal,69,61,8,Friday
2026-01-30,Pulao,105,95,10,Friday
2026-01-30,Chapati,250,225,25,Friday
2026-01-30,Curd Rice,75,66,9,Friday
2026-01-31,Rice,127,80,47,Saturday
2026-01-31,Idli,130,77,53,Saturday
2026-01-31,Sambar,61,39,22,Saturday
2026-01-31,Chapati,245,155,90,Saturday
2026-01-31,Pulao,106,66,40,Saturday
2026-01-31,Paratha,163,103,60,Saturday
2026-02-01,Paratha,146,89,57,Sunday
2026-02-01,Pulao,98,58,40,Sunday
2026-02-02,Sambar,75,66,9,Monday
2026-02-02,Upma,58,54,4,Monday
2026-02-02,Curd Rice,58,54,4,Monday
2026-02-02,Dosa,87,80,7,Monday
2026-02-03,Paratha,188,171,17,Tuesday
2026-02-03,Curd Rice,61,55,6,Tuesday
2026-02-03,Sambar,81,71,10,Tuesday
2026-02-04,Curd Rice,48,40,8,Wednesday
2026-02-04,Pulao,115,102,13,Wednesday
2026-02-04,Poha,67,61,6,Wednesday
2026-02-05,Sambar,79,68,11,Thursday
2026-02-05,Idli,123,116,7,Thursday
2026-02-05,Dosa,110,94,16,Thursday
2026-02-06,Upma,57,53,4,Friday
2026-02-06,Sambar,51,45,6,Friday
2026-02-06,Poha,97,89,8,Friday
2026-02-06,Pulao,94,85,9,Friday
2026-02-07,Dosa,124,81,43,Saturday
2026-02-07,Idli,133,83,50,Saturday
2026-02-07,Upma,84,51,33,Saturday
2026-02-07,Paratha,161,103,58,Saturday
2026-02-08,Curd Rice,68,44,24,Sunday
2026-02-08,Pulao,100,63,37,Sunday
2026-02-08,Idli,166,104,62,Sunday
2026-02-09,Paratha,200,182,18,Monday
2026-02-09,Sambar,82,72,10,Monday
2026-02-09,Idli,148,132,16,Monday
2026-02-09,Curd Rice,55,48,7,Monday
2026-02-10,Paratha,208,186,22,Tuesday
2026-02-10,Dosa,80,73,7,Tuesday
2026-02-10,Idli,123,116,7,Tuesday
2026-02-11,Curd Rice,64,57,7,Wednesday
2026-02-11,Dosa,120,112,8,Wednesday
2026-02-11,Pulao,112,97,15,Wednesday
2026-02-11,Paratha,155,147,8,Wednesday
2026-02-11,Sambar,76,66,10,Wednesday
2026-02-11,Poha,81,71,10,Wednesday
2026-02-12,Paratha,175,159,16,Thursday
2026-02-12,Curd Rice,54,47,7,Thursday
2026-02-12,Poha,96,84,12,Thursday
2026-02-12,Sambar,72,66,6,Thursday
2026-02-13,Curd Rice,68,61,7,Friday
2026-02-13,Sambar,67,60,7,Friday
2026-02-13,Pulao,133,122,11,Friday
2026-02-13,Idli,177,164,13,Friday
2026-02-13,Poha,86,73,13,Friday
2026-02-14,Upma,82,49,33,Saturday
2026-02-14,Paratha,165,106,59,Saturday
2026-02-14,Sambar,61,40,21,Saturday
2026-02-15,Pulao,98,58,40,Sunday
2026-02-15,Paratha,211,127,84,Sunday
2026-02-16,Dosa,96,87,9,Monday
2026-02-16,Paratha,183,164,19,Monday
2026-02-16,Idli,155,142,13,Monday
2026-02-17,Upma,61,53,8,Tuesday
2026-02-17,Curd Rice,50,47,3,Tuesday
2026-02-17,Poha,100,88,12,Tuesday
2026-02-18,Dosa,101,94,7,Wednesday
2026-02-18,Pulao,126,114,12,Wednesday
2026-02-18,Upma,66,60,6,Wednesday
2026-02-19,Sambar,80,74,6,Thursday
2026-02-19,Poha,92,83,9,Thursday
2026-02-19,Curd Rice,69,64,5,Thursday
2026-02-19,Pulao,85,75,10,Thursday
2026-02-20,Curd Rice,60,53,7,Friday
2026-02-20,Poha,71,66,5,Friday
2026-02-20,Idli,143,132,11,Friday
2026-02-21,Curd Rice,46,28,18,Saturday
2026-02-21,Paratha,205,128,77,Saturday
2026-02-21,Idli,158,95,63,Saturday
2026-02-21,Upma,62,38,24,Saturday
2026-02-22,Curd Rice,68,40,28,Sunday
2026-02-22,Pulao,106,66,40,Sunday
2026-02-23,Poha,96,84,12,Monday
2026-02-23,Pulao,130,122,8,Monday
2026-02-23,Paratha,201,178,23,Monday
2026-02-23,Sambar,68,60,8,Monday
2026-02-24,Upma,80,75,5,Tuesday
2026-02-24,Curd Rice,69,59,10,Tuesday
2026-02-25,Upma,91,81,10,Wednesday
2026-02-25,Idli,165,145,20,Wednesday
2026-02-25,Poha,70,62,8,Wednesday
2026-02-26,Sambar,80,70,10,Thursday
2026-02-26,Upma,58,51,7,Thursday
2026-02-26,Dosa,106,94,12,Thursday
2026-02-26,Pulao,129,115,14,Thursday
2026-02-26,Curd Rice,52,45,7,Thursday
2026-02-27,Idli,163,150,13,Friday
2026-02-27,Dosa,110,94,16,Friday
2026-02-27,Pulao,90,79,11,Friday
2026-02-28,Pulao,101,64,37,Saturday
2026-02-28,Poha,87,53,34,Saturday
2026-02-28,Idli,140,84,56,Saturday
2026-03-01,Paratha,145,87,58,Sunday
2026-03-01,Pulao,108,70,38,Sunday
2026-03-01,Curd Rice,65,39,26,Sunday
2026-03-01,Idli,167,104,63,Sunday
2026-03-02,Pulao,91,78,13,Monday
2026-03-02,Paratha,162,143,19,Monday
2026-03-02,Sambar,60,55,5,Monday
2026-03-03,Dosa,80,73,7,Tuesday
2026-03-03,Curd Rice,52,45,7,Tuesday
2026-03-03,Sambar,82,75,7,Tuesday
2026-03-03,Idli,151,141,10,Tuesday
2026-03-04,Upma,80,74,6,Wednesday
2026-03-04,Paratha,174,154,20,Wednesday
2026-03-05,Sambar,71,62,9,Thursday
2026-03-05,Poha,77,72,5,Thursday
2026-03-05,Upma,87,77,10,Thursday
2026-03-05,Curd Rice,46,41,5,Thursday
2026-03-05,Dosa,107,97,10,Thursday
2026-03-05,Paratha,160,142,18,Thursday
2026-03-06,Paratha,178,166,12,Friday
2026-03-06,Sambar,63,55,8,Friday
2026-03-06,Dosa,123,111,12,Friday
2026-03-07,Sambar,60,39,21,Saturday
2026-03-07,Idli,172,106,66,Saturday
2026-03-07,Poha,75,49,26,Saturday
2026-03-07,Paratha,189,117,72,Saturday
2026-03-08,Sambar,74,48,26,Sunday
2026-03-08,Dosa,87,56,31,Sunday
2026-03-08,Idli,173,106,67,Sunday
2026-03-08,Curd Rice,75,49,26,Sunday
2026-03-08,Paratha,179,114,65,Sunday
2026-03-09,Pulao,107,97,10,Monday
2026-03-09,Poha,96,86,10,Monday
2026-03-09,Upma,63,56,7,Monday
2026-03-09,Dosa,103,97,6,Monday
2026-03-09,Sambar,80,71,9,Monday
2026-03-10,Dosa,119,105,14,Tuesday
2026-03-10,Idli,180,153,27,Tuesday
2025-12-01,Curd Rice,49,43,6,Monday
2025-12-01,Idli,160,149,11,Monday
2025-12-01,Paratha,179,163,16,Monday
2025-12-02,Dosa,77,68,9,Tuesday
2025-12-02,Paratha,162,142,20,Tuesday
2025-12-02,Dal,97,90,7,Tuesday
2025-12-02,Poha,83,70,13,Tuesday
